position-X	position-Y
20.852082348 	 -3.881307181 
21.062652220 	 -3.948296673 
21.275485901 	 -4.015617638 
21.490567014 	 -4.083267265 
21.707879182 	 -4.151242743 
21.927406031 	 -4.219541260 
22.149131183 	 -4.288160004 
22.373038262 	 -4.357096162 
22.599110891 	 -4.426346924 
22.827332695 	 -4.495909478 
23.057687296 	 -4.565781011 
23.290158319 	 -4.635958713 
23.524729388 	 -4.706439770 
23.761376039 	 -4.777222561 
24.000068557 	 -4.848307028 
24.240792360 	 -4.919691493 
24.483533166 	 -4.991374241 
24.728276696 	 -5.063353555 
24.975008667 	 -5.135627721 
25.223714798 	 -5.208195023 
25.474380810 	 -5.281053745 
25.726992420 	 -5.354202171 
25.981535347 	 -5.427638586 
26.237995311 	 -5.501361275 
26.496358031 	 -5.575368520 
26.756609225 	 -5.649658608 
27.018734613 	 -5.724229821 
27.282719913 	 -5.799080446 
27.548550844 	 -5.874208765 
27.816209137 	 -5.949614074 
28.085662600 	 -6.025299881 
28.356897196 	 -6.101266031 
28.629901465 	 -6.177511770 
28.904663946 	 -6.254036345 
29.181173176 	 -6.330839003 
29.459417695 	 -6.407918992 
29.739386041 	 -6.485275558 
30.021066752 	 -6.562907948 
30.304448368 	 -6.640815408 
30.589519426 	 -6.718997187 
30.876268467 	 -6.797452530 
31.164684027 	 -6.876180686 
31.454754646 	 -6.955180900 
31.746468862 	 -7.034452419 
32.039815213 	 -7.113994491 
32.334782240 	 -7.193806363 
32.631358479 	 -7.273887281 
32.929532470 	 -7.354236492 
33.229292751 	 -7.434853244 
33.530624328 	 -7.515737944 
33.833499676 	 -7.596895576 
34.137907100 	 -7.678326555 
34.443837165 	 -7.760030589 
34.751280439 	 -7.842007385 
35.060227489 	 -7.924256651 
35.370668881 	 -8.006778095 
35.682595184 	 -8.089571423 
35.995996963 	 -8.172636344 
36.310864785 	 -8.255972565 
36.627189219 	 -8.339579793 
36.944960830 	 -8.423457737 
37.264170187 	 -8.507606104 
37.584807855 	 -8.592024601 
37.906864401 	 -8.676712936 
38.230330394 	 -8.761670816 
38.555196400 	 -8.846897949 
38.881452985 	 -8.932394043 
39.209090718 	 -9.018158806 
39.538100164 	 -9.104191943 
39.868469480 	 -9.190493972 
40.200178502 	 -9.277068540 
40.533218174 	 -9.363916052 
40.867581005 	 -9.451036415 
41.203259502 	 -9.538429539 
41.540246175 	 -9.626095332 
41.878533531 	 -9.714033703 
42.218114079 	 -9.802244560 
42.558980326 	 -9.890727811 
42.901124782 	 -9.979483366 
43.244539954 	 -10.068511132 
43.589218351 	 -10.157811018 
43.935152481 	 -10.247382932 
44.282334852 	 -10.337226784 
44.630757972 	 -10.427342482 
44.980414350 	 -10.517729933 
45.331296494 	 -10.608389047 
45.683396912 	 -10.699319732 
46.036708113 	 -10.790521896 
46.391222604 	 -10.881995449 
