"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient_X"	"Skin_Friction_Coefficient_Y"	"Skin_Friction_Coefficient_Z"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Points:0"	"Points:1"	"Points:2"
1.1368	324.03	0.011416	17.417	2.8144e+005	4.7282e-005	94052	288.21	0.0015371	0.83873	1.7896e-005	0	0	0	0	0	3.7829e-006	-2.1411	0.27468	0.44954
1.1369	324.04	0.012734	17.263	2.8146e+005	4.7282e-005	94062	288.22	0.0017418	0.83864	1.7896e-005	0	0	0	0	0	3.7837e-006	-2.0484	0.42536	-3.0803
1.1369	324.04	0.001125	17.259	2.8146e+005	4.7281e-005	94060	288.22	0.0017091	0.83866	1.7896e-005	0	0	0	0	0	3.7831e-006	-2.0179	0	-3.3037
1.1368	324.04	0.010955	17.276	2.8145e+005	4.728e-005	94055	288.21	0.0015873	0.83872	1.7896e-005	0	0	0	0	0	3.7823e-006	-2.2114	0.42116	-2.9641
1.1379	323.9	0.065899	17.277	2.8167e+005	4.7335e-005	94178	288.32	0.0042552	0.8374	1.7901e-005	0	0	0	0	0	3.8096e-006	-1.2759	0.54583	-1.6124
1.1378	323.91	0.030857	17.27	2.8166e+005	4.7329e-005	94170	288.31	0.0040664	0.8375	1.7901e-005	0	0	0	0	0	3.8071e-006	-1.3309	0.28423	-1.7304
1.137	324.01	0.028294	17.391	2.8149e+005	4.7294e-005	94079	288.23	0.0021092	0.83845	1.7897e-005	0	0	0	0	0	3.7888e-006	-2.0061	0.51757	-0.41917
1.1369	324.02	0.025537	17.429	2.8146e+005	4.7287e-005	94060	288.22	0.0016988	0.83865	1.7896e-005	0	0	0	0	0	3.785e-006	-2.0061	0.51755	0.4193
1.1368	324.04	0.02286	17.28	2.8145e+005	4.728e-005	94056	288.21	0.0016215	0.8387	1.7896e-005	0	0	0	0	0	3.7825e-006	-2.1942	0.80891	-2.7615
1.1368	324.05	0.020032	17.29	2.8144e+005	4.7278e-005	94050	288.21	0.0014817	0.83876	1.7896e-005	0	0	0	0	0	3.7812e-006	-2.3421	0.79987	-2.6379
1.1379	323.9	0.094601	17.306	2.8166e+005	4.7334e-005	94172	288.31	0.0041154	0.83746	1.7901e-005	0	0	0	0	0	3.8087e-006	-1.2967	0.7826	-1.4281
1.1378	323.91	0.059242	17.296	2.8165e+005	4.7329e-005	94164	288.31	0.0039549	0.83754	1.7901e-005	0	0	0	0	0	3.8066e-006	-1.3677	0.54211	-1.5298
1.1368	324.04	0.030998	17.294	2.8144e+005	4.7278e-005	94052	288.21	0.0015208	0.83874	1.7896e-005	0	0	0	0	0	3.7815e-006	-2.2929	1.1547	-2.4547
1.1368	324.05	0.027542	17.302	2.8143e+005	4.7276e-005	94046	288.21	0.0013964	0.8388	1.7896e-005	0	0	0	0	0	3.7804e-006	-2.4269	1.1407	-2.327
1.1378	323.91	0.12142	17.333	2.8165e+005	4.7332e-005	94164	288.31	0.0039568	0.83753	1.7901e-005	0	0	0	0	0	3.8075e-006	-1.2988	0.99803	-1.2554
1.1377	323.91	0.085521	17.322	2.8164e+005	4.7329e-005	94159	288.3	0.0038461	0.83759	1.79e-005	0	0	0	0	0	3.8061e-006	-1.3779	0.77642	-1.3439
1.1368	324.04	0.037793	17.306	2.8144e+005	4.7277e-005	94048	288.21	0.0014356	0.83878	1.7896e-005	0	0	0	0	0	3.7807e-006	-2.3572	1.4659	-2.161
1.1367	324.05	0.034002	17.313	2.8143e+005	4.7275e-005	94043	288.2	0.0013265	0.83883	1.7896e-005	0	0	0	0	0	3.7797e-006	-2.4781	1.447	-2.0323
1.1377	323.91	0.14599	17.359	2.8163e+005	4.7329e-005	94156	288.3	0.0037713	0.83762	1.79e-005	0	0	0	0	0	3.8059e-006	-1.2889	1.1939	-1.0935
1.1377	323.92	0.11056	17.346	2.8163e+005	4.7327e-005	94153	288.3	0.0037205	0.83765	1.79e-005	0	0	0	0	0	3.8052e-006	-1.3706	0.98925	-1.1715
1.1367	324.05	0.043585	17.317	2.8143e+005	4.7275e-005	94044	288.2	0.0013644	0.83881	1.7896e-005	0	0	0	0	0	3.7801e-006	-2.3968	1.7453	-1.8815
